"2019-02-18 20:46:52" Welcome to Cetus3Dbasic
"2019-02-18 20:46:52" setup: WiFi 'FFamPennings' .... ESP8266 at 192.168.178.78
"2019-02-18 20:46:53" setup: Finding Cetus3D ... found 'MaartensCetus3D' at 192.168.178.10
"2019-02-18 20:46:53" stat:  seq#  clock : stat/statusname      layer  height done   remain  nozzle  hotbed 
"2019-02-18 20:46:55" loop: Get status failed
"2019-02-18 20:47:07" loop: Get status failed
"2019-02-18 20:47:17" stat: 00000 00025s : 0202/printing        L0000   0.0mm   0%  2:49:13  99.54C  17.32C 
"2019-02-18 20:47:28" stat: 00001 00035s : 0202/printing        L0000   0.0mm   0%  2:49:13 121.18C  17.32C 
"2019-02-18 20:47:38" stat: 00002 00046s : 0202/printing        L0000   0.0mm   0%  2:49:13 140.52C  17.32C 
"2019-02-18 20:47:48" stat: 00003 00056s : 0202/printing        L0000   0.0mm   0%  2:49:13 157.88C  17.32C 
"2019-02-18 20:47:59" stat: 00004 00066s : 0202/printing        L0000   0.0mm   0%  2:49:13 173.32C  17.32C 
"2019-02-18 20:48:09" stat: 00005 00077s : 0202/printing        L0000   0.0mm   0%  2:49:13 187.16C  17.32C 
"2019-02-18 20:48:19" stat: 00006 00087s : 0202/printing        L0000   0.0mm   0%  2:49:13 199.74C  17.32C 
"2019-02-18 20:48:30" stat: 00007 00097s : 0202/printing        L0000   0.0mm   0%  2:49:13 213.04C  17.32C 
"2019-02-18 20:48:40" stat: 00008 00107s : 0202/printing        L0001   0.0mm   0%  2:49:13   1.00x   0.34x 
"2019-02-18 20:48:50" stat: 00009 00118s : 0202/printing        L0001   0.0mm   0%  2:49:13   1.00x   0.34x 
"2019-02-18 20:49:00" stat: 00010 00128s : 0202/printing        L0001   0.0mm   0%  2:49:13   1.00x   0.34x 
"2019-02-18 20:49:11" stat: 00011 00138s : 0202/printing        L0001   0.0mm   0%  2:49:13   0.98x   0.34x 
"2019-02-18 20:49:21" stat: 00012 00149s : 0202/printing        L0001   0.0mm   0%  2:49:13   0.98x   0.34x 
"2019-02-18 20:49:31" stat: 00013 00159s : 0202/printing        L0001   0.0mm   0%  2:49:13   0.98x   0.34x 
"2019-02-18 20:49:42" stat: 00014 00169s : 0202/printing        L0001   0.0mm   0%  2:49:13   1.00x   0.34x 
"2019-02-18 20:49:52" stat: 00015 00180s : 0202/printing        L0001   0.0mm   0%  2:49:13   1.00x   0.34x 
"2019-02-18 20:50:03" stat: 00016 00190s : 0202/printing        L0001   0.0mm   0%  2:49:13   1.00x   0.34x 
"2019-02-18 20:50:13" stat: 00017 00201s : 0202/printing        L0001   0.0mm   0%  2:49:13   1.00x   0.34x 
"2019-02-18 20:50:23" stat: 00018 00211s : 0202/printing        L0001   0.0mm   0%  2:49:13   0.98x   0.34x 
"2019-02-18 20:50:34" stat: 00019 00221s : 0202/printing        L0001   0.0mm   0%  2:49:13   0.98x   0.34x 
"2019-02-18 20:50:44" stat: 00020 00232s : 0202/printing        L0002   0.0mm   2%  2:45:11   1.02x   0.34x 
"2019-02-18 20:50:54" stat: 00021 00242s : 0202/printing        L0002   0.0mm   2%  2:45:11   1.00x   0.34x 
"2019-02-18 20:51:05" stat: 00022 00252s : 0202/printing        L0002   0.0mm   2%  2:45:11   0.98x   0.34x 
"2019-02-18 20:51:15" stat: 00023 00263s : 0202/printing        L0002   0.0mm   2%  2:45:11   0.98x   0.34x 
"2019-02-18 20:51:25" stat: 00024 00273s : 0202/printing        L0002   0.0mm   2%  2:45:11   0.98x   0.34x 
"2019-02-18 20:51:36" stat: 00025 00283s : 0202/printing        L0002   0.0mm   2%  2:45:11   1.00x   0.34x 
"2019-02-18 20:51:46" stat: 00026 00293s : 0202/printing        L0002   0.0mm   2%  2:45:11   1.00x   0.34x 
"2019-02-18 20:51:56" stat: 00027 00304s : 0202/printing        L0003   0.0mm   3%  2:42:34   1.02x   0.34x 
