Welcome to Cetus3Dbasic
setup: WiFi 'MaartensWifi' ... ESP8266 at 192.168.178.63
setup: Finding Cetus3D ... found 'MaartensCetus3D' at 192.168.178.10
stat:  seq#  clock : stat/statusname      layer  height done   remain  nozzle  hotbed 
loop: Get status failed
loop: Get status failed
loop: Get status failed
loop: Get status failed
loop: Get status failed
loop: Get status failed
stat: 00000 00043s : 0202/printing        L0000   0.0mm   0%  1:39:17  38.32C  17.32C 
stat: 00001 00048s : 0202/printing        L0000   0.0mm   0%  1:39:17  49.30C  17.32C 
stat: 00002 00053s : 0202/printing        L0000   0.0mm   0%  1:39:17  65.92C  17.32C 
stat: 00003 00059s : 0202/printing        L0000   0.0mm   0%  1:39:17  81.56C  17.32C 
stat: 00004 00064s : 0202/printing        L0000   0.0mm   0%  1:39:17  91.36C  17.32C 
stat: 00005 00069s : 0202/printing        L0000   0.0mm   0%  1:39:17 105.28C  17.32C 
stat: 00006 00075s : 0202/printing        L0000   0.0mm   0%  1:39:17 114.04C  17.32C 
stat: 00007 00080s : 0202/printing        L0000   0.0mm   0%  1:39:17 126.46C  17.32C 
stat: 00008 00085s : 0202/printing        L0000   0.0mm   0%  1:39:17 138.06C  17.32C 
stat: 00009 00091s : 0202/printing        L0000   0.0mm   0%  1:39:17 145.40C  17.32C 
stat: 00010 00096s : 0202/printing        L0000   0.0mm   0%  1:39:17 155.88C  17.32C 
stat: 00011 00101s : 0202/printing        L0000   0.0mm   0%  1:39:17 162.42C  17.32C 
stat: 00012 00106s : 0202/printing        L0000   0.0mm   0%  1:39:17 171.70C  17.32C 
stat: 00013 00112s : 0202/printing        L0000   0.0mm   0%  1:39:17 180.44C  17.32C 
stat: 00014 00118s : 0202/printing        L0000   0.0mm   0%  1:39:17 188.64C  17.32C 
stat: 00015 00123s : 0202/printing        L0000   0.0mm   0%  1:39:17   0.96x   0.34x 
stat: 00016 00128s : 0202/printing        L0000   0.0mm   0%  1:39:17   0.98x   0.34x 
stat: 00017 00134s : 0202/printing        L0001   0.0mm   0%  1:39:17   1.00x   0.34x 
stat: 00018 00139s : 0202/printing        L0001   0.0mm   0%  1:39:17   1.00x   0.34x 
stat: 00019 00144s : 0202/printing        L0001   0.0mm   0%  1:39:17   1.00x   0.34x 
stat: 00020 00150s : 0202/printing        L0001   0.0mm   0%  1:39:17   1.00x   0.34x 
stat: 00021 00155s : 0202/printing        L0001   0.0mm   0%  1:39:17   1.00x   0.34x 
stat: 00022 00160s : 0202/printing        L0001   0.0mm   0%  1:39:17   1.00x   0.34x 
stat: 00023 00165s : 0202/printing        L0001   0.0mm   0%  1:39:17   0.98x   0.34x 
stat: 00024 00171s : 0202/printing        L0001   0.0mm   0%  1:39:17   0.98x   0.34x 
stat: 00025 00176s : 0202/printing        L0001   0.0mm   0%  1:39:17   0.98x   0.34x 
stat: 00026 00181s : 0202/printing        L0001   0.0mm   0%  1:39:17   0.98x   0.34x 
stat: 00027 00187s : 0202/printing        L0001   0.0mm   0%  1:39:17   1.00x   0.34x 
stat: 00028 00192s : 0202/printing        L0001   0.0mm   0%  1:39:17   0.98x   0.34x 
stat: 00029 00197s : 0202/printing        L0002   0.0mm   2%  1:37:02   0.98x   0.34x 
stat: 00030 00203s : 0202/printing        L0002   0.0mm   2%  1:37:02   1.02x   0.34x 
stat: 00031 00208s : 0202/printing        L0002   0.0mm   2%  1:37:02   1.00x   0.34x 
stat: 00032 00213s : 0202/printing        L0002   0.0mm   2%  1:37:02   0.98x   0.34x 
stat: 00033 00219s : 0202/printing        L0002   0.0mm   2%  1:37:02   0.98x   0.34x 
stat: 00034 00224s : 0202/printing        L0003   0.0mm   3%  1:36:12   1.00x   0.34x 
stat: 00035 00229s : 0202/printing        L0003   0.0mm   3%  1:36:12   1.00x   0.34x 
stat: 00036 00234s : 0202/printing        L0003   0.0mm   3%  1:36:12   0.98x   0.34x 
stat: 00037 00240s : 0202/printing        L0003   0.0mm   3%  1:36:12   0.98x   0.34x 
stat: 00038 00245s : 0202/printing        L0004   0.0mm   4%  1:35:18   0.98x   0.34x 
stat: 00039 00251s : 0202/printing        L0004   0.0mm   4%  1:35:18   0.98x   0.34x 
stat: 00040 00256s : 0202/printing        L0004   0.0mm   4%  1:35:18   0.98x   0.34x 
stat: 00041 00261s : 0202/printing        L0004   0.0mm   4%  1:35:18   1.00x   0.34x 
stat: 00042 00267s : 0202/printing        L0004   0.0mm   4%  1:35:18   1.00x   0.34x 
stat: 00043 00272s : 0202/printing        L0005   0.0mm   4%  1:34:23   1.00x   0.34x 
stat: 00044 00278s : 0202/printing        L0005   0.0mm   4%  1:34:23   1.00x   0.34x 
stat: 00045 00283s : 0202/printing        L0005   0.0mm   4%  1:34:23   1.00x   0.34x 
stat: 00046 00288s : 0202/printing        L0005   0.0mm   4%  1:34:23   1.00x   0.34x 
stat: 00047 00294s : 0202/printing        L0006   0.0mm   5%  1:33:59   1.00x   0.34x 
stat: 00048 00301s : 0202/printing        L0006   0.0mm   5%  1:33:59   0.98x   0.34x 
stat: 00049 00306s : 0202/printing        L0006   0.0mm   5%  1:33:59   0.98x   0.34x 
stat: 00050 00312s : 0202/printing        L0006   0.0mm   5%  1:33:59   0.98x   0.34x 
stat: 00051 00317s : 0202/printing        L0007   0.0mm   5%  1:33:39   0.98x   0.34x 
stat: 00052 00322s : 0202/printing        L0007   0.0mm   5%  1:33:39   1.00x   0.34x 
stat: 00053 00327s : 0202/printing        L0007   0.0mm   5%  1:33:39   0.98x   0.34x 
stat: 00054 00333s : 0202/printing        L0008   0.0mm   6%  1:33:19   0.98x   0.34x 
stat: 00055 00339s : 0202/printing        L0008   0.0mm   6%  1:33:19   1.00x   0.34x 
stat: 00056 00344s : 0202/printing        L0008   0.0mm   6%  1:33:19   1.00x   0.34x 
stat: 00057 00349s : 0202/printing        L0008   0.0mm   6%  1:33:19   1.00x   0.34x 
stat: 00058 00355s : 0202/printing        L0009   0.0mm   6%  1:33:00   0.98x   0.34x 
stat: 00059 00360s : 0202/printing        L0009   0.0mm   6%  1:33:00   0.98x   0.34x 
stat: 00060 00365s : 0202/printing        L0009   0.0mm   6%  1:33:00   0.98x   0.34x 
stat: 00061 00371s : 0202/printing        L0009   0.0mm   6%  1:33:00   1.00x   0.34x 
stat: 00062 00376s : 0202/printing        L0010   0.0mm   6%  1:32:40   1.00x   0.34x 
stat: 00063 00381s : 0202/printing        L0010   0.0mm   6%  1:32:40   1.00x   0.34x 
stat: 00064 00386s : 0202/printing        L0010   0.0mm   6%  1:32:40   0.98x   0.34x 
stat: 00065 00392s : 0202/printing        L0011   0.0mm   6%  1:32:20   1.00x   0.34x 
stat: 00066 00397s : 0202/printing        L0011   0.0mm   6%  1:32:20   1.00x   0.34x 
stat: 00067 00402s : 0202/printing        L0011   0.0mm   6%  1:32:20   0.98x   0.34x 
stat: 00068 00408s : 0202/printing        L0011   0.0mm   6%  1:32:20   0.98x   0.34x 
stat: 00069 00413s : 0202/printing        L0012   0.0mm   7%  1:32:00   1.00x   0.34x 
stat: 00070 00418s : 0202/printing        L0012   0.0mm   7%  1:32:00   1.00x   0.34x 
stat: 00071 00424s : 0202/printing        L0012   0.0mm   7%  1:32:00   0.98x   0.34x 
stat: 00072 00429s : 0202/printing        L0012   0.0mm   7%  1:32:00   1.00x   0.34x 
stat: 00073 00435s : 0202/printing        L0013   0.0mm   7%  1:31:40   1.00x   0.34x 
stat: 00074 00440s : 0202/printing        L0013   0.0mm   7%  1:31:40   0.98x   0.34x 
stat: 00075 00445s : 0202/printing        L0013   0.0mm   7%  1:31:40   0.98x   0.34x 
stat: 00076 00451s : 0202/printing        L0013   0.0mm   7%  1:31:40   0.98x   0.34x 
stat: 00077 00456s : 0202/printing        L0014   0.0mm   7%  1:31:21   1.00x   0.34x 
stat: 00078 00462s : 0202/printing        L0014   0.0mm   7%  1:31:21   1.00x   0.34x 
stat: 00079 00467s : 0202/printing        L0014   0.0mm   7%  1:31:21   0.98x   0.34x 
stat: 00080 00472s : 0202/printing        L0015   0.0mm   8%  1:31:01   1.00x   0.34x 
stat: 00081 00478s : 0202/printing        L0015   0.0mm   8%  1:31:01   0.98x   0.34x 
stat: 00082 00483s : 0202/printing        L0015   0.0mm   8%  1:31:01   0.98x   0.34x 
stat: 00083 00488s : 0202/printing        L0015   0.0mm   8%  1:31:01   0.98x   0.34x 
stat: 00084 00494s : 0202/printing        L0016   0.0mm   8%  1:30:41   1.00x   0.34x 
stat: 00085 00499s : 0202/printing        L0016   0.0mm   8%  1:30:41   1.00x   0.34x 
stat: 00086 00505s : 0202/printing        L0016   0.0mm   8%  1:30:41   1.00x   0.34x 
stat: 00087 00510s : 0202/printing        L0017   0.1mm   8%  1:30:25   0.98x   0.34x 
stat: 00088 00515s : 0202/printing        L0017   0.1mm   8%  1:30:25   1.00x   0.34x 
stat: 00089 00520s : 0202/printing        L0018   0.1mm   9%  1:30:11   1.00x   0.34x 
stat: 00090 00526s : 0202/printing        L0018   0.1mm   9%  1:30:11   0.98x   0.34x 
stat: 00091 00531s : 0202/printing        L0018   0.1mm   9%  1:30:11   0.98x   0.34x 
stat: 00092 00537s : 0202/printing        L0019   0.2mm   9%  1:29:58   1.00x   0.34x 
stat: 00093 00542s : 0202/printing        L0019   0.2mm   9%  1:29:58   1.00x   0.34x 
stat: 00094 00547s : 0202/printing        L0020   0.2mm   9%  1:29:45   1.00x   0.34x 
stat: 00095 00553s : 0202/printing        L0020   0.2mm   9%  1:29:45   0.98x   0.34x 
stat: 00096 00558s : 0202/printing        L0020   0.2mm   9%  1:29:45   0.98x   0.34x 
stat: 00097 00564s : 0202/printing        L0021   0.3mm   9%  1:29:31   0.98x   0.34x 
stat: 00098 00569s : 0202/printing        L0021   0.3mm   9%  1:29:31   1.00x   0.34x 
stat: 00099 00574s : 0202/printing        L0022   0.3mm  10%  1:29:18   1.00x   0.34x 
stat: 00100 00580s : 0202/printing        L0022   0.3mm  10%  1:29:18   1.00x   0.34x 
stat: 00101 00585s : 0202/printing        L0022   0.3mm  10%  1:29:18   1.00x   0.34x 
stat: 00102 00590s : 0202/printing        L0023   0.4mm  10%  1:29:05   0.98x   0.34x 
stat: 00103 00596s : 0202/printing        L0023   0.4mm  10%  1:29:05   1.00x   0.34x 
stat: 00104 00601s : 0202/printing        L0024   0.4mm  10%  1:28:51   0.98x   0.34x 
stat: 00105 00606s : 0202/printing        L0024   0.4mm  10%  1:28:51   1.00x   0.34x 
stat: 00106 00612s : 0202/printing        L0024   0.4mm  10%  1:28:51   0.98x   0.34x 
stat: 00107 00617s : 0202/printing        L0025   0.5mm  10%  1:28:38   0.98x   0.34x 
stat: 00108 00622s : 0202/printing        L0025   0.5mm  10%  1:28:38   1.00x   0.34x 
stat: 00109 00628s : 0202/printing        L0026   0.5mm  10%  1:28:25   1.00x   0.34x 
stat: 00110 00633s : 0202/printing        L0026   0.5mm  10%  1:28:25   1.00x   0.34x 
